均价区间,房屋数量,所占比例
15000-20000,1,0.625
20000-25000,8,5.0
25000-30000,18,11.25
30000-35000,8,5.0
35000-40000,21,13.125
40000-45000,13,8.125
45000-50000,9,5.625
50000-55000,9,5.625
55000-60000,12,7.5
60000-65000,12,7.5
65000-70000,9,5.625
70000-75000,9,5.625
75000-80000,3,1.875
80000-85000,3,1.875
85000-90000,5,3.125
90000-95000,2,1.25
95000-100000,0,0.0
100000-105000,4,2.5
105000-110000,1,0.625
110000-115000,1,0.625
115000-120000,1,0.625
120000-125000,3,1.875
125000-130000,3,1.875
130000-135000,1,0.625
135000-140000,0,0.0
140000-145000,1,0.625
145000-150000,0,0.0
150000-155000,2,1.25
155000-160000,1,0.625
