楼盘名称,平米数,总价,单价
东城
安定门京香福苑南北通带车位有钥匙,119.76平米,1580,"131,931元/平"
央产房南北三居带客厅 采光充足 交通便利 随时看,72.03平米,680,"94,406元/平"
新奥洋房 近地铁 满五唯一东西通透两居,92.08平米,828,"89,922元/平"
左安漪园2005年商品房社区，满五年唯一的南北通透,133.04平米,1400,"105,232元/平"
龙潭西里-中间楼层-临湖-满五唯一-精装修,46.98平米,495,"105,364元/平"
东城区二环内 天坛北门 桥湾地铁站 金鱼池西区南北2居,61.85平米,620,"100,243元/平"
新中西街，西南向一居，好楼层不临街，成本低可贷款,44.71平米,458,"102,438元/平"
南北通透四居室 明厨明卫 满五年唯一,88.67平米,1110,"125,184元/平"
北小街8号院  高楼层  南北三居    无遮挡   精装修,90.76平米,910,"100,265元/平"
豆瓣胡同 精装修两居 商品房满五年唯一住房 采光好,71.64平米,878,"122,558元/平"
法华南里 南北通透精装两居 采光好诚心出售,81.68平米,799,"97,821元/平"
东城 东直门东方银座 一居室 户型方正,77.74平米,639,"82,198元/平"
东直门南大街满五唯一高层电梯直达南向三居室诚意出售,89.39平米,836,"93,523元/平"
中绦胡同甲2号院 正规两居 中间楼层 采光好,59.15平米,750,"126,797元/平"
正东国际大厦七十年产权，东城区房本,146.93平米,458,"31,172元/平"
禾风相府 花园式小区 人车分流,96.26平米,1250,"129,857元/平"
航空部大院 民旺园明厨明卫客厅带窗两居室 业主诚售,60.05平米,730,"121,566元/平"
1995年东城区二环内龙体单价7万小三居中间楼层精装,64.24平米,459,"71,451元/平"
此房格局方正，南北通透户型方正，双朝南阳台不算面积,77.54平米,730,"94,145元/平"
花市枣苑 南北通透大三居 前后花园 诚心卖,140.33平米,1698,"121,001元/平"
和平里六区3居室 小区品质高 楼层高 视眼好 采光好,121.73平米,1399,"114,927元/平"
东城和平里区域 精装修大三居 层高2.7米,148.9平米,1060,"71,189元/平"
富莱茵花园 正规大三居 中间楼层采光好,148.63平米,930,"62,572元/平"
花市枣苑三期 东向 双卫两居 采光好,113.23平米,1260,"111,278元/平"
兴隆都市馨园满五唯一  全南两居室采光视野好,68.27平米,660,"96,675元/平"
北新仓胡同 满五年 南北两居双卧朝南 无遮挡 采光好,64.89平米,850,"130,991元/平"
东城区永定门外望陶园小区带电梯中楼层满五唯一,107.38平米,749,"69,753元/平"
仓南胡同小区东南两居室 满五年家庭唯一 带租赁车位,71.39平米,888,"124,388元/平"
法华南里 485万的三层一居室 94年楼 不临街,47.56平米,485,"101,977元/平"
和平里一区 精装修 东西通通 全明格局 诚售中,58.99平米,650,"110,189元/平"
光明中街 ，满五唯一 婚房装修 中间楼层 诚心出售,54.37平米,550,"101,159元/平"
南二环 东城区 景泰东里 南北通透精装修两居电梯房,67.7平米,518,"76,515元/平"
南北通透，采光好，外交部街，低楼层两居室出售。,55.12平米,630,"114,297元/平"
金桥国际 1室1厅 南,62.78平米,510,"81,237元/平"
南北通透两居 商品房 满五年唯一 采光好 无遮挡,63.66平米,728,"114,358元/平"
朝阳门内 西水井胡同 南北通透 两居室 满五年,74.31平米,755,"101,602元/平"
交东小区，南北三居室，满五年唯一，全明格局。,81.45平米,1080,"132,597元/平"
东城区两居室带客厅 全明格局  楼龄新 不临街 满5唯1,60.68平米,738,"121,622元/平"
禾风仕家 花园小区 人车分流 商品房,158.81平米,1350,"85,008元/平"
安定门 安德里北街25号院 带电梯三居室,87.98平米,799,"90,817元/平"
4层跃5层南北复式，采光视野好，位置好不临街,102.97平米,890,"86,433元/平"
春秀路小区 南北通透 明厨明卫 三室一厅,88.47平米,821,"92,800元/平"
青年湖旁 花园社区  视野开阔直观北京城 电梯直达,146.65平米,1920,"130,924元/平"
北二环内 中轴线附近 京香福苑 安交板块 电梯复式,214.94平米,2600,"120,964元/平"
天娇园南北通透方正格局两居室，满五唯一不临街,107.41平米,1150,"107,067元/平"
禾风相府封闭式商品房小区，高层带电梯的，视野开阔，,163.81平米,2550,"155,669元/平"
唯一板楼单元，精装修，南北通透，满五唯一,138.55平米,1730,"124,865元/平"
恒基中心 3室2厅 西北,168.41平米,1050,"62,348元/平"
精装修拎包入住三居室只有契税可多贷款,168.41平米,1150,"68,286元/平"
总监力荐，50万精装修南北通透两居室,57.9平米,589,"101,728元/平"
灯市口，近公园，闹中取静，满五唯一，中楼层一居室,38.31平米,439,"114,592元/平"
革新里小区 满五唯一商品房 诚意出售,41.94平米,330,"78,684元/平"
金桥国际 1室0厅 南,47.99平米,450,"93,770元/平"
和平里七区 南北通透 中间楼层 前后不临街,57.08平米,681,"119,307元/平"
仓南胡同  南北通透中间楼层 格局方正采光好通风好,68.63平米,890,"129,681元/平"
东直门海运仓小区中间楼层全南一居无遮挡业主诚意出售,47.84平米,638,"133,362元/平"
商品房房本，南向没遮挡，只有契税，出行便利，随时看,59.89平米,668,"111,538元/平"
和平里三区 南北通透 中间楼层,58.18平米,788,"135,442元/平"
永定门富莱茵花园南北通透两居室带车位,62.01平米,478,"77,085元/平"
中海紫御公馆 2室1厅 东 北,60.72平米,710,"116,931元/平"
东城区 二环边 三元街甲19号院 低楼层 满五年唯一,56.6平米,451,"79,682元/平"
湖景苑，商品房小区，管理好，有品质，高楼层，配套好,76.77平米,850,"110,721元/平"
东城区 2015年小区 全南两居室 满五年唯一 采光视野好,67.82平米,550,"81,098元/平"
满5唯一双卧朝南，带落地阳台，景观好,87.28平米,930,"106,554元/平"
"安化北里,全南两居室，中楼层采光好",51.69平米,526,"101,761元/平"
都市馨园中楼层采光好朝南一居室商本,52.76平米,508,"96,286元/平"
东城区 南向两居 满五年唯一 中间楼层无遮挡,84.57平米,760,"89,867元/平"
东城区 南北通透小两居 中间层 满五年唯一 1990年楼龄,57.84平米,409,"70,713元/平"
东城左安漪园2005年小区 带电梯东南朝向,85.99平米,809,"94,081元/平"
和平里交通部林业部大院南北通透两居室,59.76平米,690,"115,462元/平"
煤渣胡同 东单 协和医院 步行街 南北向三居 带电梯,72.85平米,908,"124,640元/平"
北官厅胡同，南向两居室，精装修，小区管理好，能停车,59.18平米,626,"105,779元/平"
