名称,类别,区域,板块,地址,房型,面积,总价,朝向
整租·东方前城 1室1厅 南,婺城区-江北-东方前城/50.00㎡/南/1室1厅1卫/高楼层（14层）,婺城区,江北,东方前城,1室1厅1卫,50,1400,南
整租·华创未来城 1室1厅 南,婺城区-江南-华创未来城/43.00㎡/南/1室1厅1卫/低楼层（16层）,婺城区,江南,华创未来城,1室1厅1卫,43,1150,南
整租·申华大厦 1室1厅 南,婺城区-江南-申华大厦/50.00㎡/南/1室1厅1卫/中楼层（30层）,婺城区,江南,申华大厦,1室1厅1卫,50,1200,南
整租·诚信三区 1室0厅 东南/南/北,义乌市-稠城-诚信三区/35.00㎡/东南南北/1室0厅1卫/高楼层（4层）,义乌市,稠城,诚信三区,1室0厅1卫,35,1700,东南南北
整租·金厦银湖城 3室2厅 南/北,婺城区-婺城新区-金厦银湖城/89.00㎡/南北/3室2厅1卫/高楼层（7层）,婺城区,婺城新区,金厦银湖城,3室2厅1卫,89,2200,南北
整租·金都美地 3室2厅 南,金东区-金东区-金都美地/110.00㎡/南/3室2厅1卫/高楼层（21层）,金东区,金东区,金都美地,3室2厅1卫,110,2600,南
整租·荷叶塘开发区第五小区 1室0厅 东南/南,义乌市--荷叶塘开发区第五小区/35.00㎡/东南南/1室0厅1卫/中楼层（7层）,义乌市,,荷叶塘开发区第五小区,1室0厅1卫,35,1350,东南南
整租·季宅一区 1室1厅 南,义乌市-北苑-季宅一区/42.00㎡/南/1室1厅1卫/中楼层（5层）,义乌市,北苑,季宅一区,1室1厅1卫,42,1580,南
整租·兴中小区 1室1厅 东南/南,义乌市-稠城-兴中小区/30.00㎡/东南南/1室1厅1卫/高楼层（3层）,义乌市,稠城,兴中小区,1室1厅1卫,30,1800,东南南
整租·凤凰城 1室1厅 西南,永康市-永康市-凤凰城/48.00㎡/西南/1室1厅1卫/中楼层（18层）,永康市,永康市,凤凰城,1室1厅1卫,48,2000,西南
